0,0,0,0,0,0,0,0,0,0,0,0,-1.84,-7.2346,-15.816,-27,-40.024,-54,-67.976,-81,-92.184,-100.77,-106.16,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-106.16,-100.77,-92.184,-81,-67.976,-54,-40.5,-27,-13.5,0,-9.9196e-15,13.976,27,38.184,46.765,52.16,54,54,54,54,54,54,54,54,54,52.16,46.765,38.184,27,13.976,3.3065e-15,-13.5,-27,-40.5,-54,-67.5,-81,-94.5,-108,-108,-123.5,-136.64,-145.42,-148.5,-145.42,-136.64,-123.5,-108,-94.5,-81,-67.5,-54,-40.5,-27,-13.5,-1.4211e-14,2.4799e-15,15.499,28.638,37.417,40.5,37.417,28.638,15.499,2.4799e-15,-13.5,-27,-40.5,-54,-67.5,-81,-94.5,-108,-121.5,-135
0,16.2,32.4,48.6,64.8,81,97.2,113.4,129.6,145.8,162,162,175.98,189,200.18,208.77,214.16,216,214.16,208.77,200.18,189,175.98,162,145.8,129.6,113.4,97.2,81,64.8,48.6,32.4,16.2,7.1054e-15,-0,-13.976,-27,-38.184,-46.765,-52.16,-54,-54,-54,-54,-54,-54,-52.16,-46.765,-38.184,-27,-13.976,-1.3226e-14,15.4,30.8,46.2,61.6,77,92.4,107.8,108,121.98,135,146.18,154.77,160.16,162,162,162,162,162,162,162,162,162,162,158.92,150.14,137,121.5,106,92.862,84.083,81,81,81,81,81,81,81,81,81,81,77.917,69.138,55.999,40.5,25.001,11.862,3.0829,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.2618,0.5236,0.7854,1.0472,1.309,1.5708,1.8326,2.0944,2.3562,2.618,2.8798,3.1416,-3.1416,-3.1416,-3.1416,-3.1416,-3.1416,-3.1416,-3.1416,-3.1416,-3.1416,-3.1416,3.1416,3.4034,3.6652,3.927,4.1888,4.4506,4.7124,4.7124,4.7124,4.7124,4.7124,4.7124,4.9742,5.236,5.4978,5.7596,6.0214,6.2832,0,0,0,0,0,0,0,0,0.2618,0.5236,0.7854,1.0472,1.309,1.5708,1.5708,1.5708,1.5708,1.5708,1.5708,1.5708,1.5708,1.5708,1.5708,1.9635,2.3562,2.7489,3.1416,3.5343,3.927,4.3197,4.7124,4.7124,4.7124,4.7124,4.7124,4.7124,4.7124,4.7124,4.7124,-1.5708,-1.9635,-2.3562,-2.7489,-3.1416,-3.5343,-3.927,-4.3197,-4.7124,1.5708,1.5708,1.5708,1.5708,1.5708,1.5708,1.5708,1.5708,1.5708,1.5708
1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0
