%timestamp count  distance(m) hor(deg) ver(deg)
1414173916.599545 0  5.588 348.93 106.21
1414173917.892418 1  5.587 348.94 106.21
1414173919.177484 2  5.576 348.98 106.24
1414173920.470511 3  5.503 349.19 106.47
1414173921.765226 4  5.494 349.22 106.50
1414173923.052783 5  5.446 349.33 106.65
1414173924.331237 6  5.358 349.57 106.94
1414173925.626615 7  5.313 349.72 107.09
1414173926.914252 8  5.245 349.89 107.33
1414173928.205108 9  5.211 349.98 107.44
1414173929.491553 10  5.172 350.11 107.60
1414173930.787985 11  5.157 350.15 107.65
1414173932.076610 12  5.137 350.20 107.72
1414173933.358484 13  5.120 350.25 107.77
1414173934.650484 14  5.063 350.44 108.00
1414173935.943243 15  5.029 350.54 108.13
1414173937.203615 16  4.989 350.70 108.28
1414173938.492620 17  4.946 350.83 108.46
1414173939.782762 18  4.909 350.94 108.61
1414173941.074733 19  4.869 351.07 108.78
1414173942.387741 20  4.847 351.15 108.87
1414173943.671885 21  4.774 351.41 109.17
1414173944.963239 22  4.741 351.55 109.30
1414173946.254993 23  4.721 351.65 109.35
1414173947.544996 24  4.679 351.78 109.57
1414173949.451012 25  4.630 351.95 109.79
1414173950.740506 26  4.548 352.27 110.16
1414173952.049244 27  4.542 352.33 110.19
1414173953.335122 28  4.479 352.57 110.46
1414173954.628244 29  4.436 352.75 110.70
1414173955.929122 30  4.377 353.01 110.98
1414173957.227843 31  4.322 353.27 111.27
1414173958.517871 32  4.283 353.47 111.47
1414173959.828881 33  4.229 353.72 111.75
1414173961.727388 34  4.135 354.17 112.28
1414173963.023122 35  4.101 354.37 112.48
1414173964.302629 36  4.071 354.53 112.66
1414173965.604750 37  3.994 354.95 113.10
1414173966.882249 38  3.964 355.10 113.30
1414173968.178032 39  3.931 355.29 113.50
1414173969.470002 40  3.911 355.40 113.63
1414173970.762631 41  3.871 355.66 113.89
1414173972.053418 42  3.822 355.97 114.20
1414173973.346878 43  3.774 356.31 114.53
1414173974.612502 44  3.725 356.62 114.88
1414173975.914008 45  3.681 356.91 115.19
1414173977.212006 46  3.627 357.27 115.50
1414173978.500649 47  3.576 357.65 115.98
1414173979.781267 48  3.574 357.69 116.01
1414173981.086280 49  3.534 358.03 116.24
1414173982.367278 50  3.512 358.23 116.50
1414173983.658772 51  3.499 358.34 116.60
1414173984.944884 52  3.477 358.50 116.78
1414173986.239665 53  3.444 358.76 117.01
1414173987.496167 54  3.407 359.08 117.36
1414173988.953408 55  3.418 0.37 117.15
1414173990.246944 56  3.417 0.28 117.32
1414173991.545135 57  3.426 0.70 117.22
1414173992.829634 58  3.429 0.72 117.22
1414173994.133268 59  3.438 1.11 117.16
1414173995.424410 60  3.465 2.30 116.92
1414173996.717291 61  3.482 3.04 116.77
1414173998.026269 62  3.506 3.95 116.58
1414173999.931772 63  3.537 5.14 116.32
1414174001.232782 64  3.567 6.19 116.11
1414174002.530288 65  3.613 7.70 115.75
1414174003.839046 66  3.649 8.83 115.48
1414174005.119271 67  3.656 9.02 115.43
1414174006.429200 68  3.681 9.75 115.26
1414174007.733015 69  3.718 10.80 114.99
1414174009.044193 70  3.744 11.49 114.80
1414174010.342394 71  3.779 12.38 114.56
1414174012.251525 72  3.808 13.14 114.36
1414174013.548703 73  3.834 13.77 114.17
1414174014.856647 74  3.882 14.82 113.85
1414174016.144899 75  3.923 15.72 113.57
1414174017.434651 76  3.934 15.95 113.50
1414174018.729653 77  3.965 16.60 113.30
1414174020.040359 78  4.010 17.46 113.03
1414174021.330276 79  4.030 17.80 112.91
1414174022.633071 80  4.074 18.62 112.64
1414174024.528528 81  4.155 20.01 112.18
1414174025.824901 82  4.202 20.80 111.93
1414174027.108780 83  4.232 21.25 111.77
1414174028.410528 84  4.282 22.04 111.50
1414174029.702923 85  4.335 22.80 111.23
1414174031.003905 86  4.383 23.49 110.99
1414174032.299081 87  4.442 24.28 110.70
1414174033.596659 88  4.487 24.88 110.41
1414174034.904663 89  4.525 25.38 110.30
1414174036.824038 90  4.626 26.60 109.85
1414174038.122339 91  4.689 27.29 109.57
1414174039.430966 92  4.753 28.00 109.31
1414174040.719284 93  4.808 28.58 109.06
1414174042.012411 94  4.849 28.96 108.91
1414174043.310788 95  4.890 28.73 108.76
1414174044.599431 96  4.918 28.25 108.66
1414174045.898743 97  5.002 26.94 108.34
1414174047.190041 98  5.088 25.65 108.01
1414174049.114292 99  5.187 24.24 107.65
1414174050.409793 100  5.283 23.04 107.32
1414174051.704053 101  5.387 21.78 106.98
1414174052.986916 102  5.491 20.59 106.64
1414174054.282820 103  5.564 19.78 106.41
1414174055.578791 104  5.713 18.29 105.96
1414174056.870682 105  5.827 17.16 105.63
1414174058.176935 106  5.949 16.12 105.31
1414174059.468561 107  6.090 14.96 104.94
1414174061.380542 108  6.262 13.60 104.50
1414174062.676433 109  6.425 12.39 104.11
1414174063.968298 110  6.550 11.55 103.82
1414174065.276106 111  6.569 10.76 103.76
1414174066.556695 112  6.476 9.59 103.97
1414174067.843813 113  6.371 8.02 104.20
1414174069.131678 114  6.261 6.18 104.45
1414174070.425550 115  6.158 4.33 104.70
1414174071.708426 116  6.062 2.52 104.94
1414174073.025925 117  5.970 0.61 105.16
1414174074.299061 118  5.903 358.92 105.35
1414174075.581303 119  5.820 356.73 105.58
1414174076.872855 120  5.754 354.68 105.77
1414174078.177066 121  5.679 352.01 105.98
1414174079.485318 122  5.615 349.31 106.15
1414174080.773485 123  5.605 348.89 106.18
1414174082.056300 124  5.604 348.93 106.18
1414174083.341324 125  5.604 348.93 106.18
